LASAIR01,Application Host Helper Service,Running,Automatic
LASAIR01,Application Identity,Stopped,Manual
LASAIR01,Application Information,Stopped,Manual
LASAIR01,Application Management,Stopped,Manual
LASAIR01,App Readiness,Stopped,Manual
LASAIR01,AppX Deployment Service (AppXSVC),Stopped,Manual
LASAIR01,ASP.NET State Service,Stopped,Manual
LASAIR01,Windows Audio Endpoint Builder,Stopped,Manual
LASAIR01,Windows Audio,Stopped,Manual
LASAIR01,Base Filtering Engine,Running,Automatic
LASAIR01,Background Intelligent Transfer Service,Stopped,Manual
LASAIR01,Background Tasks Infrastructure Service,Running,Automatic
LASAIR01,Computer Browser,Stopped,Disabled
LASAIR01,Certificate Propagation,Running,Manual
LASAIR01,COM+ System Application,Running,Manual
LASAIR01,Cryptographic Services,Running,Automatic
LASAIR01,DCOM Server Process Launcher,Running,Automatic
LASAIR01,Optimize drives,Stopped,Manual
LASAIR01,Device Association Service,Stopped,Manual
LASAIR01,Device Install Service,Stopped,Manual
